Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
4857,1/1/1949,Sands of Iwo Jima,"$1,000,000","$7,800,000","$7,800,000"
4434,2/15/1950,Cinderella,"$2,900,000","$263,591,415","$85,000,000"
4255,5/17/1950,Annie Get Your Gun,"$3,768,785","$8,000,000","$8,000,000"
3593,2/23/1951,Quo Vadis?,"$8,250,000","$30,022,000","$30,000,000"
4797,3/7/1951,Strangers on a Train,"$1,200,000","$7,000,000","$7,000,000"
4419,7/28/1951,Alice in Wonderland,"$3,000,000",$0,$0
4666,9/18/1951,A Streetcar Named Desire,"$1,800,000","$8,000,000","$8,000,000"
4517,9/24/1951,Show Boat,"$2,300,000","$11,000,000","$11,000,000"
5009,1/1/1952,High Noon,"$730,000","$8,000,000","$8,000,000"
4166,10/1/1952,The Greatest Show on Earth,"$4,000,000","$36,000,000","$36,000,000"
4468,10/4/1952,Singin' in the Rain,"$2,540,000","$7,200,000","$7,200,000"
4788,1/21/1953,Niagara,"$1,250,000","$2,500,000","$2,500,000"
4162,5/2/1953,Peter Pan,"$4,000,000","$87,400,000","$87,400,000"
4692,5/8/1953,From Here to Eternity,"$1,650,000","$30,500,000","$30,500,000"
5227,6/13/1953,"The Beast from 20,000 Fathoms","$210,000","$5,000,000","$5,000,000"
3969,9/16/1953,The Robe,"$5,000,000","$36,000,000","$36,000,000"
5018,10/4/1953,House of Wax,"$658,000","$23,800,000","$23,800,000"
3999,1/1/1954,The Egyptian,"$5,000,000","$15,000,000","$15,000,000"
4959,7/28/1954,On the Waterfront,"$910,000","$9,600,000","$9,600,000"
3973,12/23/1954,"20,000 Leagues Under the Sea","$5,000,000","$28,200,000","$28,200,000"
4798,3/10/1955,The Trouble With Harry,"$1,200,000","$7,000,000","$7,000,000"
4705,12/31/1955,The King’s Thief,"$1,577,000",$0,$0
3853,1/1/1956,War and Peace,"$6,000,000","$12,500,000","$12,500,000"
4119,1/1/1956,Moby Dick,"$4,500,000","$10,400,000","$10,400,000"
4177,1/1/1956,Trapeze,"$4,000,000","$14,400,000","$14,400,000"
4856,1/1/1956,Love Me Tender,"$1,000,000","$9,000,000","$9,000,000"
4310,2/16/1956,Carousel,"$3,380,000","$3,220",$0
3020,5/10/1956,The Ten Commandments,"$13,500,000","$80,000,000","$80,000,000"
3835,10/17/1956,Around the World in 80 Days,"$6,000,000","$42,000,000","$42,000,000"
5067,11/19/1956,Shichinin no samurai,"$500,000","$271,736","$271,736"
4455,12/1/1956,Diane,"$2,660,000",$0,$0
4804,12/23/1956,The Wrong Man,"$1,200,000","$2,000,000","$2,000,000"
4015,1/1/1957,A Farewell To Arms,"$5,000,000","$11,014,685","$11,000,000"
5152,4/13/1957,12 Angry Men,"$340,000",$0,$0
4337,12/18/1957,The Bridge on the River Kwai,"$3,000,000","$33,300,000","$33,300,000"
4348,9/20/1958,Cat on a Hot Tin Roof,"$3,000,000","$17,570,324","$17,570,324"
4016,1/1/1959,Solomon and Sheba,"$5,000,000","$11,000,000","$11,000,000"
4274,1/1/1959,The Nun's Story,"$3,500,000","$12,800,000","$12,800,000"
4440,3/29/1959,Some Like it Hot,"$2,883,848","$25,000,000","$25,000,000"
2802,11/18/1959,Ben-Hur,"$15,000,000","$73,000,000","$73,000,000"
4171,1/1/1960,Exodus,"$4,000,000","$21,750,000","$21,750,000"
4347,1/1/1960,The Apartment,"$3,000,000","$24,600,000","$18,600,000"
4357,1/1/1960,Elmer Gantry,"$3,000,000","$10,400,000","$10,400,000"
3151,7/10/1960,Spartacus,"$12,000,000","$60,000,000","$30,000,000"
3185,10/24/1960,The Alamo,"$12,000,000","$7,900,000","$7,900,000"
4189,1/1/1961,The Misfits,"$4,000,000","$8,200,000","$8,200,000"
4359,1/1/1961,Judgment at Nuremberg,"$3,000,000","$10,000,000","$10,000,000"
4436,1/1/1961,Pocketful of Miracles,"$2,900,000","$5,000,000","$5,000,000"
4558,9/25/1961,The Hustler,"$2,000,000","$7,600,000","$7,600,000"
3834,10/18/1961,West Side Story,"$6,000,000","$43,700,000","$43,700,000"
4322,1/1/1962,The Man Who Shot Liberty Valance,"$3,200,000","$8,000,000","$8,000,000"
4555,1/1/1962,Lolita,"$2,000,000","$9,250,000","$9,250,000"
3320,4/10/1962,The Longest Day,"$10,000,000","$50,100,000","$39,100,000"
2546,8/11/1962,Mutiny on The Bounty,"$19,000,000","$13,680,000","$13,680,000"
4122,9/3/1962,State Fair,"$4,500,000","$3,500,000","$3,500,000"
2827,12/16/1962,Lawrence of Arabia,"$15,000,000","$69,995,385","$37,495,385"
4550,12/25/1962,To Kill A Mockingbird,"$2,000,000","$13,129,846","$13,129,846"
2698,1/1/1963,55 Days at Peking,"$17,000,000","$10,000,000","$10,000,000"
4454,1/1/1963,Donovan's Reef,"$2,686,000","$6,600,000","$6,600,000"
4478,5/29/1963,Hud,"$2,500,000","$10,000,000","$10,000,000"
4842,7/10/1963,Tom Jones,"$1,000,000","$37,600,000","$37,600,000"
3501,7/11/1963,It's a Mad Mad Mad Mad World,"$9,400,000","$60,000,000","$46,300,000"
4849,8/5/1963,Dr. No,"$1,000,000","$59,567,035","$16,067,035"
4181,8/8/1963,The Great Escape,"$4,000,000","$11,744,471","$11,744,471"
1253,12/6/1963,Cleopatra,"$42,000,000","$71,000,000","$57,000,000"
2552,1/1/1964,The Fall of the Roman Empire,"$19,000,000","$4,750,000","$4,750,000"
4664,1/29/1964,Dr. Strangelove,"$1,800,000","$9,164,370","$9,164,370"
4543,8/4/1964,From Russia With Love,"$2,000,000","$78,900,000","$24,800,000"
3832,8/26/1964,Mary Poppins,"$6,000,000","$102,300,000","$102,300,000"
2670,10/22/1964,My Fair Lady,"$17,000,000","$72,070,955","$72,000,000"
5040,11/8/1964,A Hard Day's Night,"$560,000","$1,597,233","$1,537,860"
4334,12/22/1964,Goldfinger,"$3,000,000","$124,900,000","$51,100,000"
3594,2/3/1965,The Sound of Music,"$8,200,000","$286,214,286","$163,214,286"
2425,2/15/1965,The Greatest Story Ever Told,"$20,000,000","$15,473,333","$15,473,333"
3907,7/3/1965,The Train,"$5,800,000","$6,800,000","$6,800,000"
4254,7/4/1965,Major Dundee,"$3,800,000","$14,873","$14,873"
3241,12/22/1965,Doctor Zhivago,"$11,000,000","$111,859,493","$111,721,000"
3514,12/29/1965,Thunderball,"$9,000,000","$141,200,000","$63,600,000"
4276,2/23/1966,Harper,"$3,500,000","$12,000,000","$12,000,000"
4354,7/16/1966,Torn Curtain,"$3,000,000","$13,000,000","$13,000,000"
2831,10/10/1966,Hawaii,"$15,000,000","$34,562,222","$34,562,222"
4249,12/12/1966,A Man for All Seasons,"$3,900,000","$28,350,000","$28,350,000"
4273,1/1/1967,In Cold Blood,"$3,500,000","$13,007,551","$13,000,000"
5232,1/18/1967,Per un pugno di dollari,"$200,000","$3,500,000","$3,500,000"
4546,2/8/1967,In the Heat of the Night,"$2,000,000","$24,391,108","$24,379,978"
3159,4/28/1967,Casino Royale,"$12,000,000","$41,744,718","$22,744,718"
3496,6/13/1967,You Only Live Twice,"$9,500,000","$111,600,000","$43,100,000"
5029,10/5/1967,Per qualche dollaro in più,"$600,000","$4,300,000","$4,300,000"
4799,12/29/1967,"Il buono, il brutto, il cattivo","$1,200,000","$6,100,000","$6,100,000"
4757,1/1/1968,Shalako,"$1,455,000","$2,620,000","$2,620,000"
5292,1/10/1968,Night of the Living Dead,"$114,000","$30,000,000","$12,000,000"
3295,2/4/1968,2001: A Space Odyssey,"$10,500,000","$68,700,000","$56,700,000"
4667,3/8/1968,Hang 'em High,"$1,800,000","$6,800,000","$6,800,000"
5008,6/25/1968,La mariée était en noir ,"$747,000","$44,566","$44,566"
3906,8/2/1968,The Planet of the Apes,"$5,800,000","$33,395,426","$33,395,426"
3559,10/10/1968,Barbarella,"$9,000,000",$0,$0
3323,11/12/1968,Oliver!,"$10,000,000","$37,402,877","$37,402,877"
4321,12/6/1968,Rosemary's Baby,"$3,200,000","$33,395,426","$33,395,426"
2465,1/1/1969,Sweet Charity,"$20,000,000","$8,000,000","$8,000,000"
4263,5/25/1969,Midnight Cowboy,"$3,600,000","$44,785,053","$44,785,053"
4032,5/28/1969,C'era una volta il West,"$5,000,000","$5,321,508","$5,321,508"
3883,6/18/1969,The Wild Bunch,"$6,000,000","$509,424","$509,424"
5228,7/25/1969,The Stewardesses,"$200,000","$25,000,000","$13,500,000"
2375,10/15/1969,Paint Your Wagon,"$20,000,000","$31,678,778","$31,678,778"
3831,10/24/1969,Butch Cassidy and the Sundance Kid,"$6,000,000","$102,308,900","$102,308,900"
2175,12/16/1969,"Hello, Dolly","$24,000,000","$33,208,099","$33,208,099"
3613,12/18/1969,On Her Majesty's Secret Service,"$8,000,000","$82,000,000","$22,800,000"
4195,12/19/1969,Topaz,"$4,000,000","$6,000,000","$6,000,000"
2159,1/1/1970,Waterloo,"$25,000,000",$0,$0
2270,1/1/1970,Darling Lili,"$22,000,000","$5,000,000","$5,000,000"
3136,1/1/1970,Patton,"$12,000,000","$62,500,000","$62,500,000"
3277,1/1/1970,The Molly Maguires,"$11,000,000","$2,200,000","$2,200,000"
4265,1/1/1970,M*A*S*H,"$3,500,000","$81,600,000","$81,600,000"
4855,1/1/1970,Beyond the Valley of the Dolls,"$1,000,000","$9,000,000","$9,000,000"
5027,3/26/1970,Woodstock,"$600,000","$34,505,110","$34,505,110"
4259,5/13/1970,The Ballad of Cable Hogue,"$3,716,946","$5,000,000","$3,500,000"
4349,5/26/1970,Beneath the Planet of the Apes,"$3,000,000","$17,489,009","$17,489,009"
2598,6/24/1970,Catch-22,"$18,000,000","$24,911,670","$24,911,670"
2076,9/23/1970,"Tora, Tora, Tora","$25,000,000","$29,548,291","$29,548,291"
3512,1/1/1971,Fiddler on the Roof,"$9,000,000","$80,500,000","$80,500,000"
3809,1/1/1971,The Andromeda Strain,"$6,500,000","$12,376,563","$12,376,563"
4477,1/1/1971,Escape from the Planet of the Apes,"$2,500,000","$12,300,000","$12,300,000"
5270,1/1/1971,Sweet Sweetback's Baad Asssss Song,"$150,000","$15,200,000","$15,200,000"
4626,4/28/1971,Bananas,"$2,000,000",$0,$0
4379,6/30/1971,Willy Wonka & the Chocolate Factory,"$3,000,000","$4,000,000","$4,000,000"
4526,9/10/1971,The French Connection,"$2,200,000","$41,158,757","$41,158,757"
3705,12/17/1971,Diamonds Are Forever,"$7,200,000","$116,000,000","$43,800,000"
4686,1/1/1972,Conquest of the Planet of the Apes,"$1,700,000","$9,700,000","$9,700,000"
3709,3/15/1972,The Godfather,"$7,000,000","$268,500,000","$134,966,411"
4275,6/21/1972,Frenzy,"$3,500,000","$12,600,000","$12,600,000"
5356,6/30/1972,Deep Throat,"$25,000","$45,000,000","$45,000,000"
5314,8/30/1972,The Last House on the Left,"$87,000","$3,100,000","$3,100,000"
4239,9/11/1972,1776,"$4,000,000",$0,$0
4548,11/8/1972,Everything You Always Wanted to Know,"$2,000,000","$18,016,290","$18,016,290"
4665,1/1/1973,Battle for the Planet of the Apes,"$1,800,000","$8,800,000","$8,800,000"
4106,5/23/1973,Pat Garrett and Billy the Kid,"$4,638,783","$11,000,000","$8,000,000"
3714,6/27/1973,Live and Let Die,"$7,000,000","$161,800,000","$35,400,000"
3926,8/22/1973,High Plains Drifter,"$5,500,000","$15,700,000","$15,700,000"
4994,11/8/1973,American Graffiti,"$777,000","$140,000,000","$115,000,000"
4547,12/17/1973,Sleeper,"$2,000,000","$18,344,729","$18,344,729"
3921,12/25/1973,The Sting,"$5,500,000","$159,616,327","$159,616,327"
3121,12/26/1973,The Exorcist,"$12,000,000","$400,214,478","$202,347,346"
4458,1/1/1974,Blazing Saddles,"$2,600,000","$119,500,000","$119,500,000"
3720,3/29/1974,The Great Gatsby,"$7,000,000","$26,533,200","$26,533,200"
4696,7/4/1974,The Conversation,"$1,600,000","$4,420,000","$4,420,000"
5280,10/18/1974,The Texas Chainsaw Massacre,"$140,000","$26,572,439","$26,572,439"
3038,11/12/1974,The Godfather: Part II,"$13,000,000","$57,300,000","$57,300,000"
5049,11/15/1974,Benji,"$500,000","$31,559,560","$31,559,560"
4442,12/15/1974,Young Frankenstein,"$2,800,000","$86,300,000","$86,300,000"
2961,12/17/1974,Towering Inferno,"$14,000,000","$139,700,000","$116,000,000"
4176,12/17/1974,The Front Page,"$4,000,000","$15,000,000","$15,000,000"
3726,12/20/1974,The Man with the Golden Gun,"$7,000,000","$97,600,000","$21,000,000"
3261,1/1/1975,Barry Lyndon,"$11,000,000","$20,169,934","$20,000,000"
5176,1/4/1975,Death Race 2000,"$300,000",$0,$0
3968,5/16/1975,The Return of the Pink Panther,"$5,000,000","$41,833,347","$41,833,347"
3120,6/20/1975,Jaws,"$12,000,000","$470,700,000","$260,000,000"
4791,9/26/1975,The Rocky Horror Picture Show,"$1,200,000","$140,556,781","$140,510,017"
5125,10/5/1975,Monty Python and the Holy Grail,"$400,000","$5,028,948","$3,427,696"
4344,10/6/1975,Love and Death,"$3,000,000","$20,123,742","$20,123,742"
4145,11/19/1975,One Flew Over the Cuckoo's Nest,"$4,400,000","$108,981,275","$108,981,275"
3723,1/1/1976,Logan's Run,"$7,000,000","$25,000,000","$25,000,000"
4251,1/1/1976,Network,"$3,800,000","$23,689,877","$23,689,877"
4805,1/1/1976,The Blue Bird,"$1,200,000","$887,000","$887,000"
4146,6/25/1976,Silent Movie,"$4,400,000","$36,145,695","$36,145,695"
4443,6/25/1976,The Omen,"$2,800,000","$48,570,885","$48,570,885"
4844,8/2/1976,Taxi Driver,"$1,000,000","$28,316,211","$28,262,574"
4353,9/4/1976,Family Plot,"$3,000,000","$13,200,000","$13,200,000"
4025,11/3/1976,Robin and Marian,"$5,000,000","$8,000,000","$8,000,000"
4661,11/16/1976,Carrie,"$1,800,000","$25,878,153","$25,878,153"
4840,11/21/1976,Rocky,"$1,000,000","$225,000,000","$117,235,147"
2202,12/17/1976,King Kong,"$23,000,000","$90,614,445","$52,614,445"
5051,1/1/1977,Kingdom of the Spiders,"$500,000","$17,000,000","$17,000,000"
5297,1/1/1977,Eraserhead,"$100,000","$7,012,524","$7,000,000"
3326,3/11/1977,Pete’s Dragon,"$10,000,000","$36,000,000","$36,000,000"
4165,4/20/1977,Annie Hall,"$4,000,000","$38,251,425","$38,251,425"
3765,5/8/1977,March or Die,"$7,000,000","$1,000,000","$1,000,000"
3239,5/25/1977,Star Wars Ep. IV: A New Hope,"$11,000,000","$786,598,007","$460,998,007"
1978,6/15/1977,A Bridge Too Far,"$26,000,000","$50,800,000","$50,800,000"
2980,6/17/1977,Exorcist II: The Heretic,"$14,000,000","$25,011,000","$25,011,000"
2989,6/22/1977,"New York, New York","$14,000,000","$13,800,000","$13,800,000"
2278,6/24/1977,Sorcerer,"$21,600,000","$12,000,000","$12,000,000"
2969,7/13/1977,The Spy Who Loved Me,"$14,000,000","$185,400,000","$46,800,000"
5028,10/8/1977,The Kentucky Fried Movie,"$600,000","$20,000,000","$15,000,000"
2713,10/21/1977,Damnation Alley,"$17,000,000",$0,$0
2309,11/16/1977,Close Encounters of the Third Kind,"$20,000,000","$337,700,000","$166,000,000"
4304,12/23/1977,High Anxiety,"$3,400,000","$31,063,038","$31,063,038"
3009,1/1/1978,Caravans,"$14,000,000","$1,000,000","$1,000,000"
3165,1/1/1978,The Boys from Brazil,"$12,000,000","$19,000,000","$19,000,000"
4338,1/1/1978,Coming Home,"$3,000,000","$32,653,000","$32,653,000"
3260,4/13/1978,F.I.S.T,"$11,000,000","$20,388,920","$20,388,920"
2318,6/16/1978,Jaws 2,"$20,000,000","$208,900,376","$102,922,376"
3828,6/16/1978,Grease,"$6,000,000","$387,513,770","$181,813,770"
2798,6/28/1978,Heaven Can Wait,"$15,000,000","$98,800,000","$98,800,000"
4330,7/28/1978,National Lampoon's Animal House,"$3,000,000","$141,600,000","$141,600,000"
4382,9/13/1978,Days of Heaven,"$3,000,000","$3,660,880","$3,446,749"
5153,10/17/1978,Halloween,"$325,000","$70,000,000","$47,000,000"
2186,10/24/1978,The Wiz,"$24,000,000","$13,000,000","$13,000,000"
912,12/15/1978,Superman,"$55,000,000","$300,200,000","$134,218,018"
4026,12/22/1978,Force 10 from Navarone,"$5,000,000","$7,100,000","$7,100,000"
2814,1/1/1979,The Deer Hunter,"$15,000,000","$50,000,000","$50,000,000"
3885,2/2/1979,The First Great Train Robbery,"$6,000,000","$391,942","$391,942"
4717,4/20/1979,Dawn of the Dead,"$1,500,000","$55,000,000","$5,100,000"
3106,5/25/1979,The Prisoner of Zenda,"$12,500,000","$7,000,000","$7,000,000"
3510,5/25/1979,Alien,"$9,000,000","$203,630,630","$80,930,630"
3160,6/15/1979,Prophecy,"$12,000,000","$22,673,340","$22,673,340"
3598,6/22/1979,The Muppet Movie,"$8,000,000","$76,657,000","$76,657,000"
3604,6/22/1979,Escape from Alcatraz,"$8,000,000","$43,000,000","$43,000,000"
1696,6/29/1979,Moonraker,"$31,000,000","$210,300,000","$70,300,000"
5266,6/30/1979,Dolphin,"$170,000","$14,000","$14,000"
3573,7/11/1979,The Rose,"$8,500,000","$29,200,000","$29,200,000"
1521,7/12/1979,Star Trek: The Motion Picture,"$35,000,000","$139,000,000","$82,258,456"
1691,8/15/1979,Apocalypse Now,"$31,500,000","$81,250,488","$78,800,000"
4173,8/17/1979,The Life of Brian,"$4,000,000","$20,008,693","$20,008,693"
4449,10/17/1979,The Black Stallion,"$2,700,000","$37,799,643","$37,799,643"
2759,10/19/1979,Meteor,"$16,000,000","$8,400,000","$8,400,000"
1676,12/14/1979,1941,"$32,000,000","$94,875,000","$34,175,000"
2361,12/21/1979,The Black Hole,"$20,000,000","$35,841,901","$35,841,901"
1624,1/1/1980,Lion of the Desert,"$35,000,000","$1,500,000","$1,500,000"
3805,1/1/1980,Dressed to Kill,"$6,500,000","$31,899,000","$31,899,000"
4279,1/1/1980,Terror Train,"$3,500,000","$8,000,000","$8,000,000"
5144,1/1/1980,Maniac,"$350,000","$10,000,000","$10,000,000"
4846,1/2/1980,The Fog,"$1,000,000","$21,378,361","$21,378,361"
1414,1/8/1980,Raise the Titanic,"$40,000,000","$7,000,000","$7,000,000"
3952,3/10/1980,Somewhere in Time,"$5,100,000","$9,709,597","$9,709,597"
3977,3/10/1980,The Elephant Man,"$5,000,000","$26,010,864","$26,010,864"
5229,3/21/1980,Mad Max,"$200,000","$99,750,000","$8,750,000"
4264,4/7/1980,Airplane!,"$3,500,000","$83,453,539","$83,453,539"
1573,5/12/1980,Flash Gordon,"$35,000,000","$27,107,960","$27,107,960"
3374,5/16/1980,The Long Riders,"$10,000,000","$15,198,912","$15,198,912"
5132,5/16/1980,Home Movies,"$400,000","$89,134","$89,134"
2196,5/21/1980,Star Wars Ep. V: The Empire Strikes Back,"$23,000,000","$534,171,960","$290,271,960"
2536,5/23/1980,The Shining,"$19,000,000","$44,391,156","$44,017,374"
3929,6/6/1980,Galaxina,"$5,500,000","$4,865,000","$4,865,000"
2261,6/13/1980,The Island,"$22,000,000","$15,716,828","$15,716,828"
1941,6/20/1980,The Blues Brothers,"$27,000,000","$57,229,890","$57,229,890"
2490,6/20/1980,Can't Stop the Music,"$20,000,000","$2,000,000","$2,000,000"
4115,6/20/1980,The Blue Lagoon,"$4,500,000","$47,923,795","$47,923,795"
2805,7/3/1980,Coal Miner's Daughter,"$15,000,000","$67,182,787","$67,182,787"
3836,7/25/1980,Caddyshack,"$6,000,000","$39,846,344","$39,846,344"
5044,9/5/1980,Friday the 13th,"$550,000","$59,754,601","$39,754,601"
3833,9/19/1980,Ordinary People,"$6,000,000","$52,302,978","$52,302,978"
5301,10/5/1980,Penitentiary,"$100,000","$287,000","$287,000"
2804,10/10/1980,Private Benjamin,"$15,000,000","$69,847,348","$69,847,348"
2600,11/14/1980,Raging Bull,"$18,000,000","$23,380,203","$23,380,203"
1238,11/19/1980,Heaven's Gate,"$44,000,000","$3,484,523","$3,484,331"
2340,12/12/1980,Popeye,"$20,000,000","$49,823,037","$49,823,037"
2707,1/1/1981,Roar,"$17,000,000","$2,110,050","$2,110,050"
5185,1/5/1981,Graduation Day,"$250,000","$23,894,000","$23,894,000"
3177,3/20/1981,The Postman Always Rings Twice,"$12,000,000","$44,200,000","$12,200,000"
1642,4/12/1981,Reds,"$33,500,000","$50,000,000","$50,000,000"
4784,4/30/1981,Friday the 13th Part 2,"$1,250,000","$21,722,776","$21,722,776"
2617,5/22/1981,The Legend of the Lone Ranger,"$18,000,000","$13,400,000","$13,400,000"
3804,5/22/1981,The Four Seasons,"$6,500,000","$42,488,161","$42,488,161"
3143,6/11/1981,Time Bandits,"$12,000,000","$37,400,000","$37,400,000"
969,6/19/1981,Superman II,"$54,000,000","$108,185,706","$108,185,706"
1896,6/26/1981,For Your Eyes Only,"$28,000,000","$195,300,000","$54,800,000"
2625,6/26/1981,Dragonslayer,"$18,000,000","$6,000,000","$6,000,000"
3306,6/26/1981,Stripes,"$10,000,000","$85,300,000","$85,300,000"
3504,7/8/1981,Heavy Metal,"$9,300,000","$19,571,091","$19,571,091"
2615,7/24/1981,Blow Out,"$18,000,000","$13,747,234","$13,747,234"
2409,7/31/1981,Under the Rainbow,"$20,000,000","$18,826,490","$18,826,490"
4370,8/28/1981,Gallipoli,"$3,000,000","$5,732,587","$5,732,587"
2971,9/12/1981,Taps,"$14,000,000","$35,856,053","$35,856,053"
3992,9/18/1981,Mommie Dearest,"$5,000,000","$25,032,000","$19,032,000"
3922,9/25/1981,Chariots of Fire,"$5,500,000","$57,467,731","$57,159,946"
4001,10/4/1981,Nighthawks,"$5,000,000","$19,600,000","$14,600,000"
4848,10/4/1981,The Howling,"$1,000,000","$17,985,000","$17,985,000"
3840,10/7/1981,Escape from New York,"$6,000,000","$25,244,700","$25,244,700"
4474,10/30/1981,Halloween II,"$2,500,000","$25,533,818","$25,533,818"
3427,11/2/1981,Sphinx,"$10,000,000","$11,400,000","$2,000,000"
3201,11/13/1981,The Pursuit of D.B. Cooper,"$12,000,000","$2,104,164","$2,104,164"
2306,12/6/1981,Raiders of the Lost Ark,"$20,000,000","$389,925,971","$248,159,971"
2843,12/6/1981,Clash of the Titans,"$15,000,000","$44,400,000","$30,000,000"
3256,12/6/1981,History of the World: Part I,"$11,000,000","$31,672,000","$31,672,000"
3409,12/18/1981,Heartbeeps,"$10,000,000","$6,000,000","$6,000,000"
3612,12/25/1981,Modern Problems,"$8,000,000","$24,474,312","$24,474,312"
3024,1/29/1982,The Border,"$13,500,000","$6,118,683","$6,118,683"
3105,2/4/1982,Cat People,"$12,500,000","$21,000,000","$7,000,000"
4011,2/4/1982,Diner,"$5,000,000","$12,592,907","$12,592,907"
3988,3/11/1982,The Man From Snowy River,"$5,000,000","$20,659,423","$20,659,423"
4161,3/19/1982,Porky's,"$4,000,000","$109,492,484","$109,492,484"
3127,4/6/1982,Star Trek II: The Wrath of Khan,"$12,000,000","$95,800,000","$78,912,963"
3290,4/6/1982,Poltergeist,"$10,700,000","$121,706,019","$74,706,019"
2355,5/14/1982,Conan the Barbarian,"$20,000,000","$79,114,085","$38,264,085"
4544,5/21/1982,Mad Max 2: The Road Warrior,"$2,000,000","$24,600,832","$24,600,832"
2286,6/18/1982,Firefox,"$21,000,000","$45,785,720","$45,785,720"
1908,6/25/1982,Blade Runner,"$28,000,000","$33,139,618","$32,656,328"
2629,6/25/1982,Megaforce,"$18,000,000","$5,675,599","$5,675,599"
2304,7/23/1982,The Best Little Whorehouse in Texas,"$20,500,000","$69,701,637","$69,701,637"
2240,8/12/1982,Gandhi,"$22,000,000","$127,767,889","$52,767,889"
2728,8/12/1982,The Verdict,"$16,000,000","$53,977,250","$53,977,250"
4116,8/13/1982,Fast Times at Ridgemont High,"$4,500,000","$27,092,880","$27,092,880"
4525,8/13/1982,Friday the 13th Part 3,"$2,250,000","$36,690,067","$36,690,067"
4017,8/20/1982,The Beastmaster,"$5,000,000","$10,751,126","$10,751,126"
4318,8/20/1982,Class of 1984,"$3,250,000","$6,965,361","$6,965,361"
