Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"LG UltraWide 34WP65C-B 34 Inch 21:9 Curved FreeSync 1ms 160 Hz WQHD 4k Gaming Monitor, Black",,$649.99,0%,4.5 out of 5 stars,177,https://www.amazon.ca/LG-UltraWide-34WP65C-B-34-21/dp/B093TB6HZH/ref=sr_1_25?keywords=4k+monitor&qid=1654371669&sr=8-25
BenQ PD2705U 27 inch 4K IPS Calibrated USB-C Monitor for Designers,,$699.99,0%,5.0 out of 5 stars,1,https://www.amazon.ca/BenQ-PD2705U-Calibrated-Monitor-Designers/dp/B09NF49CDZ/ref=sr_1_26?keywords=4k+monitor&qid=1654371669&sr=8-26
"SAMSUNG UE57 Series 28-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver Mode, VESA Compatible, FreeSync (LU28E570DS/ZA)",$468.99,$399.99,-14.71%,4.5 out of 5 stars,"1,225",https://www.amazon.ca/Samsung-LU28E570DS-ZA-LED-Lit-Monitor/dp/B07FBNPTDD/ref=sr_1_27?keywords=4k+monitor&qid=1654371669&sr=8-27
"Dragon Touch S1 Pro 4K Portable Monitor, 15.6"" IPS HDR USB-C Gaming Monitor, 100% sRGB FreeSync with Speakers Mini HDMI for Xbox PS4 Nintendo Switch Laptop PC Phone Mac Surface, VESA Compatible",,$399.99,0%,3.9 out of 5 stars,55,https://www.amazon.ca/Dragon-Touch-Portable-FreeSync-Compatible/dp/B08XXD6ZLH/ref=sr_1_28?keywords=4k+monitor&qid=1654371669&sr=8-28
"HP 28"" 4K Ultra HD 60Hz 1ms Freesync Black",,$328.72,0%,4.4 out of 5 stars,173,https://www.amazon.ca/HP-4K-Ultra-Freesync-Black/dp/B08G5T5W76/ref=sr_1_29?keywords=4k+monitor&qid=1654371669&sr=8-29
"LG UltraGear 27GN600-B 27 Inch Full HD IPS 144Hz 1ms Gaming Monitor, NVIDA G-SYNC Compatible, Black",$399.99,$164.99,-58.75%,4.6 out of 5 stars,513,https://www.amazon.ca/LG-UltraGear-27GN600-B-Ultragear-Compatible/dp/B08LZNSF3J/ref=sr_1_30?keywords=4k+monitor&qid=1654371669&sr=8-30
"Portable Monitor - UCMDA 15.6 Inch Full HD 1080 IPS Screen Gaming Monitor, Built-in Dual Speakers/Monitor Case with USB-Powered Dual Portable Monitor for Laptop, PS4, Xbox, Switch, Phone (Grey Black)",,$239.99,0%,4.3 out of 5 stars,222,https://www.amazon.ca/Portable-Monitor-Built-Speakers-USB-Powered/dp/B09Z2HJG29/ref=sr_1_31?keywords=4k+monitor&qid=1654371669&sr=8-31
"GIGABYTE M32U 32"" 144Hz 4K FreeSync Compatible Gaming Monitor, SS IPS, 3840x2160 Display, 1ms Response Time (MPRT), 1x Display Port 1.4, 2X HDMI 2.1, 3X USB 3.0, 1x USB Type C",,$899.99,0%,4.3 out of 5 stars,109,https://www.amazon.ca/GIGABYTE-FreeSync-Compatible-3840x2160-Response/dp/B083GRVFXN/ref=sr_1_32?keywords=4k+monitor&qid=1654371669&sr=8-32
ViewSonic VX3211-4K-MHD 32 Inch Widescreen 4K Monitor with 99% sRGB Color Coverage HDMI VGA and DisplayPort,$500.09,$455.99,-8.82%,4.3 out of 5 stars,950,https://www.amazon.ca/ViewSonic-VX3211-4K-MHD-Widescreen-Coverage-DisplayPort/dp/B07F733RYH/ref=sr_1_33?keywords=4k+monitor&qid=1654371669&sr=8-33
"LG Ultrafine 32UL500-W 32 Inch UHD VA 4ms 60Hz 4K Monitor with AMD FreeSync, Silver/White",,$434.98,0%,4.5 out of 5 stars,961,https://www.amazon.ca/LG-32UL500-W-UHD-Monitor/dp/B088G1PKKN/ref=sr_1_34?keywords=4k+monitor&qid=1654371669&sr=8-34
"Philips 276E8VJSB 27"" Monitor, 4K UHD 3840x2160 IPS, 1 Billion+ Colors, UltraNarrow Borders, LowBlue, MultiView, DispalyPort/2xHDMI 2.0 (Renewed)",$339.99,$269.99,-20.59%,3.8 out of 5 stars,65,https://www.amazon.ca/276E8VJSB-3840x2160-UltraNarrow-MultiView-DispalyPort/dp/B07VKF9GHN/ref=sr_1_35?keywords=4k+monitor&qid=1654371669&sr=8-35
"LG UltraFine 27UP850-W 27 Inch 5ms 60Hz UHD 4k Monitor, USB Type-C, Silver",,$649.99,0%,4.3 out of 5 stars,130,https://www.amazon.ca/LG-UltraFine-27UP850-W-Monitor-IPS-DisplayHDR/dp/B08YJMMYBX/ref=sr_1_36?keywords=4k+monitor&qid=1654371669&sr=8-36
"BenQ EW2880U 28” 4K UHD IPS HDRi Monitor, USB-C, HDMI. DP, 3840x2160, Built-in Speakers, Anti-Glare, Flicker-Free, Bezel-Less, Brightness Intelligence Plus",,$547.99,0%,5.0 out of 5 stars,2,https://www.amazon.ca/BenQ-EW2880U-Anti-Glare-Flicker-Free-Intelligence/dp/B09KLH1GQD/ref=sr_1_37?keywords=4k+monitor&qid=1654371669&sr=8-37
"Dell P2721Q 27 Inch 4K FHD, IP Ultra-Thin Bezel Monitor, USB-C, HDMI, DisplayPort, VESA Certified, Silver, Gray",,$649.99,0%,4.4 out of 5 stars,163,https://www.amazon.ca/Dell-P2721Q-Ultra-Thin-DisplayPort-Certified/dp/B08JNKKPD4/ref=sr_1_38?keywords=4k+monitor&qid=1654371669&sr=8-38
"Philps Computer Monitors Philips 278E1A 27"" Frameless Monitor, 4K UHD IPS, 109% sRGB, Speakers, VESA, 4Yr Advance Replacement Warranty",,$361.72,0%,4.2 out of 5 stars,510,https://www.amazon.ca/Philps-Computer-Monitors-278E1A-Replacement/dp/B07ZSGR5TM/ref=sr_1_39?keywords=4k+monitor&qid=1654371669&sr=8-39
"LG UltraWide 34WP65G-B 34 Inch Full HD 5ms 75Hz Monitor, USB Type C, AMD Freesync, Black",$499.99,$401.04,-19.79%,4.5 out of 5 stars,92,https://www.amazon.ca/LG-UltraWide-34WP65G-B-DisplayHDR-Adjustable/dp/B08RJ1BFJR/ref=sr_1_40?keywords=4k+monitor&qid=1654371669&sr=8-40
"LG 34WN80C-B UltraWide Monitor 34” 21:9 Curved WQHD (3440 x 1440) IPS Display, USB Type-C (60W PD), sRGB 99% Color Gamut, 3-Side Virtually Borderless Design, Tilt/Height Adjustable Stand - Black",,$699.99,0%,4.6 out of 5 stars,"3,025",https://www.amazon.ca/LG-34WN80C-B-34-Inch-Led-Lit-14700510/dp/B07YGZ7C1K/ref=sr_1_41?keywords=4k+monitor&qid=1654371669&sr=8-41
"ASUS ROG Strix 43” 4K HDR DSC Gaming Monitor (XG43UQ) - UHD (3840 x 2160), 144Hz, 1ms, HDMI 2.1, Extreme Low Motion Blur Sync, FreeSync™ Premium Pro, DisplayHDR1000, DCI-P3 90%, DisplayPort, USB","$1,699.00","$1,399.99",-17.6%,4.1 out of 5 stars,68,https://www.amazon.ca/ASUS-Strix-Gaming-Monitor-XG43UQ/dp/B099PJ8SPT/ref=sr_1_42?keywords=4k+monitor&qid=1654371669&sr=8-42
Dell UltraSharp U2720Q 27 Inch 4K UHD (3840 x 2160) LED Backlit LCD IPS USB-C Monitor (7GZ651),$798.00,$749.99,-6.02%,4.5 out of 5 stars,756,https://www.amazon.ca/Dell-UltraSharp-U2720Q-Backlit-Monitor/dp/B086H26XWV/ref=sr_1_43?keywords=4k+monitor&qid=1654371669&sr=8-43
"Dell S2721Q 27 Inch 4K UHD, IPS Ultra-Thin Bezel Monitor, AMD FreeSync, HDMI, DisplayPort, VESA Certified, Silver",,$568.05,0%,4.4 out of 5 stars,861,https://www.amazon.ca/Dell-S2721Q-Ultra-Thin-DisplayPort-Certified/dp/B08DP756Z3/ref=sr_1_44?keywords=4k+monitor&qid=1654371669&sr=8-44
"AORUS FI32U 32"" 4K SS IPS Gaming Monitor, Exclusive Built-in ANC, 3840x2160 Display, 144 Hz Refresh Rate, 1ms Response Time (GTG), 1x Display Port 1.4, 2X HDMI 2.1, 2X USB 3.0, with USB Type-C","$1,299.99",$998.98,-23.15%,4.0 out of 5 stars,35,https://www.amazon.ca/AORUS-Monitor-Exclusive-3840x2160-Response/dp/B09885HV8C/ref=sr_1_45?keywords=4k+monitor&qid=1654371669&sr=8-45
"Portable Game Display Screen, 14 inch Ultra-Thin IPS LCD Display HDMI Computer Monitor 1920X1080 Mini Game Monitor for PS4/ Xbox One/Switch",,$240.99,0%,5.0 out of 5 stars,2,https://www.amazon.ca/Portable-Display-Ultra-Thin-Computer-1920X1080/dp/B08D2Z48K8/ref=sr_1_46?keywords=4k+monitor&qid=1654371669&sr=8-46
"LG Ultrafine 32UP550-W 31.5 Inch 1ms 60Hz UHD 4K Monitor with AMD FreeSync, USB Type-C Connectivity, Silver/White",,$583.73,0%,3.8 out of 5 stars,49,https://www.amazon.ca/LG-32UP550-W-31-5-inch-FreeSync-Connectivity/dp/B096TJ7QF2/ref=sr_1_47?keywords=4k+monitor&qid=1654371669&sr=8-47
"LG UltraGear 34GP83A-B 34 Inch 21:9 Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 160Hz and G-SYNC Compatibility, Black","$1,099.99",$769.89,-30.01%,4.4 out of 5 stars,"1,240",https://www.amazon.ca/LG-UltraGear-34GP83A-B-Adaptive-Sync-Compatible/dp/B08DWD38VX/ref=sr_1_48?keywords=4k+monitor&qid=1654371669&sr=8-48
"ASUS TUF Gaming 28” 4K 144HZ DSC HDMI 2.1 Gaming Monitor (VG28UQL1A) - UHD (3840 x 2160), Fast IPS, 1ms, Extreme Low Motion Blur Sync, G-SYNC Compatible, FreeSync Premium, Eye Care, DCI-P3 90%",,"$1,014.99",0%,4.5 out of 5 stars,186,https://www.amazon.ca/ASUS-Gaming-144HZ-Monitor-VG28UQL1A/dp/B09FP3J623/ref=sr_1_49?keywords=4k+monitor&qid=1654371669&sr=8-49
"ASUS 31.5” 4K HDR Monitor (VP32UQ) - UHD (3840 x 2160), IPS, 100% sRGB, HDR10, Speakers, Adaptive-Sync/FreeSync, Low Blue Light, Eye Care, VESA Mountable, Frameless, DisplayPort, HDMI, Tilt",,$523.99,0%,4.1 out of 5 stars,54,https://www.amazon.ca/ASUS-31-5-Monitor-VP32U-Adaptive-Sync/dp/B096PNMSQZ/ref=sr_1_50?keywords=4k+monitor&qid=1654371669&sr=8-50
"Samsung 32"" 4K Ultra HD 60Hz 4ms GTG VA LED Smart M8 Monitor (LS32BM801UNXGO) - Warm White",$849.99,$738.98,-13.06%,3.4 out of 5 stars,14,https://www.amazon.ca/Samsung-Ultra-Smart-Monitor-LS32BM801UNXGO/dp/B09TWW7RS1/ref=sr_1_51?keywords=4k+monitor&qid=1654371669&sr=8-51
"LG Ultragear 34GL750 Gaming Monitor with 34 Inch 21:9 Wide Full HD 1ms 144Hz Curved IPS Display, AMD FreeSync, Black",$599.99,$549.99,-8.33%,4.4 out of 5 stars,"1,763",https://www.amazon.ca/LG-34GL750-inch-21-Ultragear/dp/B07R5R9VR9/ref=sr_1_52?keywords=4k+monitor&qid=1654371669&sr=8-52
"ASUS ProArt Display 32” 4K HDR Monitor (PA329CV) - UHD (3840 x 2160), IPS, 100% sRGB/Rec.709, ΔE < 2, Calman Verified, USB-C Power Delivery, DisplayPort, HDMI, USB 3.1 Hub, C-clamp, Height Adjustable",,$999.00,0%,3.9 out of 5 stars,33,https://www.amazon.ca/ASUS-ProArt-Display-Monitor-PA329CV/dp/B09D7JCT5Y/ref=sr_1_53?keywords=4k+monitor&qid=1654371669&sr=8-53
"YEYIAN ODRAZ 27” PC Gaming Frameless 4K UHD HDR Monitor 3840x2160 IPS Panel, 1 Billion Colors, Low Blue, 300cd/m2, 1000:1, 60Hz, 5ms, 16:9, 178°, G-Sync, FreeSync, DP/HDMI/USB, Speakers, VESA, Tilt",,$379.99,0%,4.5 out of 5 stars,"1,040",https://www.amazon.ca/YEYIAN-Frameless-Monitor-3840x2160-Billion/dp/B09HN6XSYS/ref=sr_1_55?keywords=4k+monitor&qid=1654371669&sr=8-55
"Samsung LS24R350FZNXZA 24"" LED-Lit Monitor 75Hz Freesync Dark Blue Grey (LS24R350FZNXZA)",$249.99,$178.00,-28.8%,4.5 out of 5 stars,952,https://www.amazon.ca/Samsung-LS24R350FZNXZA-LED-Lit-Monitor-Freesync/dp/B091BCRJR7/ref=sr_1_56?keywords=4k+monitor&qid=1654371669&sr=8-56
"LG 32UP550N-W 32 Inch UHD(3840 x 2160) 4K Monitor with IPS 4ms 60Hz Display, AMD FreeSync, USB Type C, White",,$549.99,0%,No reviews,0,https://www.amazon.ca/LG-32UP550N-W-Monitor-Display-FreeSync/dp/B0B196S8GF/ref=sr_1_53?keywords=4k+monitor&qid=1654371671&sr=8-53
"ASUS 34” Ultrawide HDR Gaming Monitor (VP349CGL) - 21:9 UWQHD (3440 x 1440), IPS, 100Hz, 1ms, USB-C w/Power Delivery, FreeSync, Eye Care Plus, VESA Mountable, HDMI, DisplayPort, Height Adjustable",,$599.00,0%,5.0 out of 5 stars,4,https://www.amazon.ca/ASUS-Ultrawide-Gaming-Monitor-VP349CGL/dp/B09G94PTZR/ref=sr_1_55?keywords=4k+monitor&qid=1654371671&sr=8-55
"ViewSonic VX3276-4K-MHD 32 Inch 4K UHD Monitor with Ultra-Thin Bezels, HDR10 HDMI and DisplayPort for Home and Office",$532.99,$495.93,-6.95%,4.4 out of 5 stars,"7,855",https://www.amazon.ca/ViewSonic-Monitor-VX3276-4K-MHD-32-Inch-14700510/dp/B07SRDX1Z1/ref=sr_1_56?keywords=4k+monitor&qid=1654371671&sr=8-56
"LG 27GP850-B Ultragear Gaming Monitor 27” QHD (2560 x 1440) Nano IPS Display, 1ms Response Tim, 165Hz Refresh Rate, NVIDIA G-SYNC Compatible, AMD FreeSync Premium, Tilt/Height/Pivot Adjustable Stand",$649.99,$499.99,-23.08%,4.6 out of 5 stars,555,https://www.amazon.ca/LG-UltraGear-27GP850-B-Ultragear-Compatible/dp/B093MTSTKD/ref=sr_1_57?keywords=4k+monitor&qid=1654371671&sr=8-57
"LG UltraWide 40WP95C-W 40 Inch UHD 4K Monitor with 5ms 72Hz IPS Display AMD Freesync, Curved Monitor, White",,"$2,499.99",0%,4.8 out of 5 stars,26,https://www.amazon.ca/LG-UltraWide-40WP95C-W-Monitor-Freesync/dp/B09P1VLCQ4/ref=sr_1_58?keywords=4k+monitor&qid=1654371671&sr=8-58
"LG UltraWide 49WL95C-WY Monitor, 49 Inch 32:9 Dual WQHD 5ms 60Hz IPS Ultrawide Curved Display, Black","$1,699.99","$1,549.99",-8.82%,5.0 out of 5 stars,1,https://www.amazon.ca/LG-UltraWide-49WL95C-WY-Monitor-Inch/dp/B09QD21693/ref=sr_1_59?keywords=4k+monitor&qid=1654371671&sr=8-59
"MSI Full HD FreeSync Gaming Monitor 24"" Curved Non-Glare 1ms Led Wide Screen 1920 X 1080 144Hz Refresh Rate (Optix G24C),Black/Red",,$218.00,0%,4.5 out of 5 stars,"6,456",https://www.amazon.ca/G24C-FreeSync-Monitor-Non-Glare-Refresh/dp/B072JZ66T3/ref=sr_1_60?keywords=4k+monitor&qid=1654371671&sr=8-60
"ASUS ProArt Display PA278QV 27” WQHD (2560 x 1440) Monitor, 100% sRGB/Rec. 709 ΔE < 2, IPS, DisplayPort HDMI DVI-D Mini DP, Calman Verified, Eye Care, Anti-Glare, Tilt Pivot Swivel Height Adjustable",,$412.99,0%,4.7 out of 5 stars,"1,505",https://www.amazon.ca/PA278QV-DisplayPort-Verified-Anti-Glare-Adjustable/dp/B088BC5HMM/ref=sr_1_61?keywords=4k+monitor&qid=1654371671&sr=8-61
"Dell U3223QE UltraSharp 31.5"" 16:9 4K Ultra HD USB-C Hub IPS LED LCD Monitor",,"$1,190.32",0%,3.5 out of 5 stars,3,https://www.amazon.ca/Dell-U3223QE-UltraSharp-31-5-16/dp/B09TVZHV4W/ref=sr_1_62?keywords=4k+monitor&qid=1654371671&sr=8-62
"ASUS TUF Gaming 27"" 2K HDR Monitor (VG27AQ1A) - QHD (2560 x 1440), IPS, 170Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, G-SYNC Compatible, VESA Mountable, DisplayPort, HDMI",$429.99,$399.99,-6.98%,4.5 out of 5 stars,"1,002",https://www.amazon.ca/VG27AQ1A-Monitor-Supports-Compatible-DisplayPort/dp/B08CZ8QJTX/ref=sr_1_63?keywords=4k+monitor&qid=1654371671&sr=8-63
"AOC U2790VQ 27"" 4K 3840x2160 UHD Frameless Monitor, IPS, 5ms, 1 Billion+ Colors, DisplayPort/HDMI Inputs, Vesa, Black",,$447.58,0%,4.2 out of 5 stars,"4,711",https://www.amazon.ca/AOC-U2790VQ-3840x2160-Frameless-DisplayPort/dp/B07LBM2DCC/ref=sr_1_64?keywords=4k+monitor&qid=1654371671&sr=8-64
HKC 24'' IPS Full HD Eye-Cared Frameless 1080P White Monitor HDMI VGA Input 3years warrenty V2412W,$269.99,$198.99,-26.3%,4.1 out of 5 stars,67,https://www.amazon.ca/HKC-Computer-Monitor-Eye-Cared-Warranty/dp/B07DJ3825G/ref=sr_1_65?keywords=4k+monitor&qid=1654371671&sr=8-65
"SAMSUNG Odyssey G55A Series 27-Inch WQHD (2560x1440) Curved Gaming Monitor, 165Hz, 1ms, HDMI, DisplayPort, FreeSync, HDR10 (LS27AG550ENXZA)",,$499.99,0%,5.0 out of 5 stars,1,https://www.amazon.ca/SAMSUNG-2560x1440-DisplayPort-FreeSync-LS27AG550ENXZA/dp/B09TS2DLVN/ref=sr_1_66?keywords=4k+monitor&qid=1654371671&sr=8-66
"Samsung LC27G55TQWNXZA WQHD 144HZ 1MS Freesync HDR10 Monitor with 1000R Curvature, Black",$378.00,$348.00,-7.94%,4.3 out of 5 stars,"1,317",https://www.amazon.ca/Samsung-LC27G55TQWNXZA-Freesync-Monitor-Curvature/dp/B08FF3F5HR/ref=sr_1_67?keywords=4k+monitor&qid=1654371671&sr=8-67
Samsung LS24T350FHNXZA 24-inch Screen LED-Lit Monitor 5ms 75Hz Eye-Saver Mode with Freesync (LF24T350FHNXZA),$199.00,$179.99,-9.55%,4.5 out of 5 stars,408,https://www.amazon.ca/Samsung-LS24T350FHNXZA-Eye-Saver-Freesync-LF24T350FHNXZA/dp/B08J4JRRCT/ref=sr_1_68?keywords=4k+monitor&qid=1654371671&sr=8-68
"LG UltraGear 32GP850-B 32 Inch QHD 2560 x 1440 Nano IPS Gaming Monitor 1ms 165Hz NVIDIA G-SYNC Compatible, AMD FreeSync Premium, Black",$749.99,$549.98,-26.67%,4.4 out of 5 stars,343,https://www.amazon.ca/LG-UltraGear-32GP850-B-Ultragear-Compatible/dp/B093MFKDLP/ref=sr_1_74?keywords=4k+monitor&qid=1654371671&sr=8-74
"SAMSUNG T350 Series 22-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), 3-Sided Border-Less, FreeSync (LF22T350FHNXZA)",,$169.99,0%,4.4 out of 5 stars,"1,020",https://www.amazon.ca/Samsung-LF22T350FHNXZA-22-inch-Eye-Saver-Freesync/dp/B08FNW672V/ref=sr_1_75?keywords=4k+monitor&qid=1654371671&sr=8-75
"GIGABYTE G32QC A (32"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, 93% DCI-P3, VESA Display HDR400, FreeSync Premium Pro",$398.98,$358.98,-10.03%,4.3 out of 5 stars,"4,228",https://www.amazon.ca/GIGABYTE-G32QC-Monitor-Response-FreeSync/dp/B0926ZVM75/ref=sr_1_76?keywords=4k+monitor&qid=1654371671&sr=8-76
"Acer Nitro 31.5"" Gaming Monitor, HDMI 2.1, 4K, 3840x2160 @ 144Hz, 1MS, Speakers, XV322QK Kvbmiiphuzx",,"$1,399.99",0%,No reviews,0,https://www.amazon.ca/Acer-Monitor-3840x2160-Speakers-Kvbmiiphuzx/dp/B09BNZ7XLT/ref=sr_1_77?keywords=4k+monitor&qid=1654371671&sr=8-77
"Alienware 360Hz Gaming Monitor 24.5 Inch FHD (Full HD 1920 x 1080p), NVIDIA G-SYNC Certified, 100mm x 100mm VESA Mounting Support, Dark Side of The Moon - AW2521H",$688.98,$649.99,-5.66%,4.5 out of 5 stars,168,https://www.amazon.ca/Alienware-Monitor-Certified-Mounting-Support/dp/B08XWKCC68/ref=sr_1_78?keywords=4k+monitor&qid=1654371671&sr=8-78
"ASUS TUF Gaming VG34VQL1B 34? Curved HDR Monitor, WQHD (3440x1440), 165Hz, 1ms, Extreme Low Motion Blur, FreeSync Premium, Eye Care, DisplayPort HDMI USB, Height Adjustable, DisplayHDR 400, Black",,$649.99,0%,4.5 out of 5 stars,390,https://www.amazon.ca/Asus-VG34VQL1B/dp/B08LCMYT54/ref=sr_1_79?keywords=4k+monitor&qid=1654371671&sr=8-79
"GIGABYTE M32UC 32"" 144Hz (160Hz OC) 4K UHD Curved Gaming Monitor, SS VA, 3840x2160 Display, 1ms Response Time (MPRT), 1x DisplayPort 1.4, 2X HDMI 2.1, 1x USB Type-C, 4X USB 3.2",,$927.76,0%,2.0 out of 5 stars,1,https://www.amazon.ca/GIGABYTE-Monitor-3840x2160-Response-DisplayPort/dp/B09WPTKDQY/ref=sr_1_80?keywords=4k+monitor&qid=1654371671&sr=8-80
Asus ROG Strix XG49VQ 49â€ Curved Gaming FreeSync Monitor 144Hz Dual Full HD HDR Eye Care with DP HDMI Black,,"$1,199.99",0%,4.3 out of 5 stars,550,https://www.amazon.ca/XG49VQ-Curved-Gaming-FreeSync-Monitor/dp/B07PZR2YY4/ref=sr_1_81?keywords=4k+monitor&qid=1654371671&sr=8-81
"LG Ultrafine 32UL950-W 32 Inch 5ms 60Hz UHD 4K Monitor, Thunderbolt 3, Silver","$1,349.99","$1,252.00",-7.26%,4.4 out of 5 stars,637,https://www.amazon.ca/LG-32UL950-W-Ultrafine-Thunderbolt-Connectivity/dp/B07K8877Y5/ref=sr_1_82?keywords=4k+monitor&qid=1654371671&sr=8-82
"ViewSonic VX1755 17 Inch 1080p Portable IPS Gaming Monitor with 144Hz, AMD FreeSync Premium, 2 Way Powered 60W USB C, Mini HDMI, and Built in Stand with Cover for Home and Esports, Black",$394.15,$371.85,-5.66%,4.7 out of 5 stars,18,https://www.amazon.ca/ViewSonic-VX1755-Portable-Monitor-FreeSync/dp/B09CQJ39YS/ref=sr_1_83?keywords=4k+monitor&qid=1654371671&sr=8-83
"ViewSonic VP2756-4K 27 Inch Premium IPS 4K Frameless Ergonomic Monitor with Color Accuracy, Pantone Validated, Factory Calibrated, HDMI, DisplayPort and USB Type C for Professional Home and Office",$635.99,$586.39,-7.8%,4.5 out of 5 stars,560,https://www.amazon.ca/ViewSonic-VP2756-4K-Calibrated-DisplayPort-Professional/dp/B08V1225XS/ref=sr_1_84?keywords=4k+monitor&qid=1654371671&sr=8-84
